# Source: US Census Bureau, Vintage 2023 population estimates for cities and towns (public domain).
# https://www2.census.gov/programs-surveys/popest/datasets/2020-2023/cities/totals/
# The 1,500 largest places, plus a hand-set international list weighted to about 3% of draws.
# Written by tools/fetch-data.mjs. Do not edit by hand.
city,region,country,weight
Lake Elsinore,CA,USA,73028
Marysville,WA,USA,72916
Jacksonville,NC,USA,72879
Greenville,SC,USA,72824
Gulfport,MS,USA,72823
Redlands,CA,USA,72556
Tamarac,FL,USA,72372
Apex,NC,USA,72225
West Des Moines,IA,USA,72205
Turlock,CA,USA,72100
Framingham,MA,USA,71875
St. Charles,MO,USA,71800
Wilmington,DE,USA,71675
San Marcos,TX,USA,71569
Harlingen,TX,USA,71510
Maple Grove,MN,USA,71288
Dothan,AL,USA,71258
Lafayette,IN,USA,71216
Mount Vernon,NY,USA,71168
Camden,NJ,USA,71100
Tulare,CA,USA,71092
Maricopa,AZ,USA,71022
St. Cloud,MN,USA,71013
North Richland Hills,TX,USA,70658
St. Joseph,MO,USA,70634
Eau Claire,WI,USA,70542
Eastvale,CA,USA,70510
Waukesha,WI,USA,70446
Bayonne,NJ,USA,70300
Conway,AR,USA,69580
Gaithersburg,MD,USA,69563
East Orange,NJ,USA,69556
Camarillo,CA,USA,69514
Shawnee,KS,USA,69417
Grand Junction,CO,USA,69412
Canton,OH,USA,69197
Walnut Creek,CA,USA,69152
Dublin,CA,USA,69128
Portland,ME,USA,69104
Passaic,NJ,USA,68903
Baldwin Park,CA,USA,68806
Decatur,IL,USA,68670
Yuba City,CA,USA,68666
Schenectady,NY,USA,68544
Ocala,FL,USA,68426
Caldwell,ID,USA,68336
Jackson,TN,USA,68264
Commerce City,CO,USA,68245
Weston,FL,USA,68181
Madera,CA,USA,68079
Idaho Falls,ID,USA,68001
Redondo Beach,CA,USA,67749
Lodi,CA,USA,67679
Gary,IN,USA,67652
Delray Beach,FL,USA,67536
Haverhill,MA,USA,67415
Eagan,MN,USA,67396
Rockville,MD,USA,67297
Alpharetta,GA,USA,67056
Albany,GA,USA,66877
Rowlett,TX,USA,66813
Waterloo,IA,USA,66606
St. Cloud,FL,USA,66448
Novi,MI,USA,66314
Greenwood,IN,USA,66296
Oshkosh,WI,USA,66184
Yorba Linda,CA,USA,66147
Janesville,WI,USA,66102
Port Orange,FL,USA,65966
Palo Alto,CA,USA,65882
Davis,CA,USA,65832
